ID,Module,Test Case,Expected,Status,Actual,Severity,Comment/Recommendation
AUTH-01,Auth,Dev login Owner (Uowner_demo_001),200+token,FAIL,401,Medium,FINDING-01 LineUserId owner ถูกเขียนทับด้วย LINE จริง dev login พัง (ใช้ user/pass แทนได้)
AUTH-02,Auth,Login owner username/password,200+token,PASS,ok name=Tharin phosrirat hasLine=True,,happy path ผ่าน
AUTH-03,Auth,Login รหัสผิด,401,PASS,401,,ทำงานถูกต้อง
AUTH-05,Auth,เปลี่ยนรหัส ใส่รหัสเดิมผิด,400,PASS,HTTP 400,,ปลอดภัย: บล็อกการเปลี่ยนรหัสเมื่อรหัสเดิมผิด (ปิดช่องโหว่)
AUTH-08,Auth,Username เปลี่ยนหลังตั้ง,400,PASS,HTTP 400,,username ล็อกถูกต้อง
AUTH-09,Auth,GET /auth/me ดึงข้อมูลสด,username+hasPassword+hasLine,PASS,username=ko1122541 hasPw=True hasLine=True,,ข้อมูลครบ
USER-01,User,GET /user/roles ไม่ซ้ำ,>=4 ไม่ซ้ำ,FAIL,count=6 names=Owner Owner Therapist Manager Reception Cashier dup=2,Medium,FINDING-03 role Owner ซ้ำใน DB - แก้ dedup ที่ API แล้ว (deploy รอ verify)
USER-LIST,User,GET /user list,array,PASS,count=3,,
USER-02,User,สร้างพนักงาน,200+id,PASS,id=ba6fedff...,,happy path
USER-04,User,บล็อก/ปลดบล็อก,200,PASS,ok,,
USER-05,User,บล็อกตัวเอง,400,PASS,HTTP 400,,ป้องกันบล็อกตัวเองถูกต้อง
USER-06,User,ลบพนักงาน,200,PASS,deleted (cleanup QA user),,soft delete ทำงาน
USER-08,User,admin ตั้งรหัสชั่วคราว,200,PASS,ok,,
PERM-01,Permission,สิทธิ์ไม่ซ้ำ+มีชื่อ user,no dup + userName,PASS,userName=QA_TEST totalCodes=42 dup=0,,dedupe permission + แสดงชื่อ ทำงานถูกต้อง (verify การแก้)
PERM-03,Permission,ห้ามแก้สิทธิ์ตัวเอง,403,PASS,HTTP 403,,ป้องกันถูกต้อง
LINK-01,LINE,สร้าง link token,liffUrl,PASS,url=liff.line.me/...?link=...,,
LINK-02,LINE,link-status pending,pending,PASS,status=pending,,
LINK-03,LINE,link-status linked หลังสแกน,linked,PASS,ผู้ใช้ยืนยันผูกสำเร็จจริง,,manual verified
LINK-04,LINE,link-line ผูกบัญชี,200 bind LINE,PASS,ผู้ใช้ผูก LINE จริงได้,,manual verified
